Recording timestamp,Project name,Export date,Participant name,Recording name,Recording date,Event,Event value
117440,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1048_DFA_ANG_XX
121092,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1048_DFA_ANG_XX
121092,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
127666,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,4
127810,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
127810,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_DFA_NEU_XX
131382,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_DFA_NEU_XX
131382,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
132912,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,4
133101,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
133101,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1003_DFA_DIS_XX
137726,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1003_DFA_DIS_XX
137726,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
139343,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,6
139499,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
139499,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1003_DFA_FEA_XX
143858,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1003_DFA_FEA_XX
143858,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
151879,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
152042,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
152042,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1013_DFA_ANG_XX
156054,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1013_DFA_ANG_XX
156054,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
157848,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
158013,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
158013,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1048_DFA_FEA_XX
161412,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1048_DFA_FEA_XX
161412,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
164213,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,5
164345,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
164345,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1056_ITH_HAP_XX
168290,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1056_ITH_HAP_XX
168290,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
169877,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,1
170036,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
170036,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_DFA_ANG_XX
173435,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_DFA_ANG_XX
173435,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
174557,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
174701,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
174701,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1048_DFA_SAD_XX
178073,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1048_DFA_SAD_XX
178073,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
178413,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
178567,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
178567,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_ITH_NEU_XX
182539,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_ITH_NEU_XX
182539,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
184925,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,4
185071,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
185071,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1091_ITH_SAD_XX
189350,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1091_ITH_SAD_XX
189350,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
191242,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,4
191389,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
191389,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1001_ITH_HAP_XX
194988,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1001_ITH_HAP_XX
194988,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
195869,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,1
196041,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
196041,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_ITH_FEA_XX
200040,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_ITH_FEA_XX
200040,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
200477,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
