Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0,2.58,0,4.38,2.42,0,0.07,0,0,0,0.41000000000000003,3.5100000000000002,5.3,2.03
Tester2,0,0,0,3.9699999999999998,0,13.129999999999999,2.74,0,0,0,0,0,0.17,6.130000000000001,16.48,10.52
Tester3,0.32,0,0.5900000000000001,0.41000000000000003,0.6799999999999999,1.5099999999999998,2.6,0.1,0.17,0.1,1.28,0.1,0.19,3.3400000000000003,5.090000000000001,2.1999999999999997
Tester4,0.33999999999999997,0,0,0.11,1.52,0,0,0,0,0,0,0,3.57,0,1.34,4.92
Tester5,0,0,0,0.62,0,1.08,5.1899999999999995,0.29000000000000004,3.0599999999999996,1.4499999999999997,3.39,1.2999999999999998,2.7,7.63,5.47,0.62
Tester6,3.9899999999999998,0,1.17,1.79,1.6599999999999997,2.64,2.48,0,0.25,0,0.42,0,6.23,3.06,7.33,10.84
