Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.14,0.46,0.07,3.8000000000000003,0.6399999999999999,21.64,3.6399999999999997,0.07,0.11,0.18,0.11,0.07,10.309999999999997,13.360000000000001,14.75,13.029999999999998
Tester2,0,0,1.22,10.040000000000001,0.07,11.4,0.19,0,0,0,0,0,2.79,2.4000000000000004,20.490000000000002,20.54
Tester3,0.88,0,0.14,1.05,0.39,1.2999999999999998,2.41,0.47,2.8200000000000003,2.98,0.24,0.64,1.13,6.469999999999999,8.9,3.54
Tester4,7.52,0,3.62,5.5200000000000005,8.34,6.02,0.66,0,0,0,0,0,18.049999999999997,3.1100000000000003,13.24,28.76
Tester5,0,0,0,0.42,0,2.02,14.37,8.07,17.33,9.83,6.829999999999998,9.69,7.170000000000001,27.070000000000004,17.26,1.8699999999999999
Tester6,3.6900000000000004,0,1.59,1.51,3.54,4.58,1.7200000000000002,0,0,0,0,0.08,8.709999999999999,4.47,10.59,14.91
