Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0,4.86,0.11,27.6,4.18,0.21,0.18,0.21,0.11,0.29,19.76,12.440000000000001,11.66,21.05
Tester2,1.67,0,1.99,12.429999999999998,2.5,25.82,1.57,0,0,0,0.12,0,5.16,11.260000000000002,36.65,30.000000000000007
Tester3,0.51,0,1.0,2.5999999999999996,1.18,6.0,6.8100000000000005,0.8,3.4799999999999995,2.73,2.4099999999999997,2.1900000000000004,4.42,13.37,18.75,9.22
Tester4,7.389999999999999,0,3.64,5.71,13.969999999999999,9.82,2.2800000000000002,0,0,0,0.47,0,24.410000000000004,5.460000000000001,14.820000000000002,34.79
Tester5,0,0,0,0,0,4.630000000000001,15.020000000000001,14.17,21.560000000000002,15.26,13.260000000000002,16.14,18.07,38.059999999999995,18.849999999999998,0.09
Tester6,7.619999999999999,0,3.4299999999999997,1.4200000000000002,6.25,9.200000000000001,6.29,0.28,0.61,0.28,1.91,0.28,20.639999999999997,11.150000000000002,15.119999999999997,24.950000000000003
