Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.08,0.13,0,2.17,0,14.17,0.84,0,0,0,0,0,6.550000000000001,12.04,11.48,5.98
Tester2,0.15,0,0.9199999999999999,8.13,0,17.02,0.54,0,0,0.17,0.17,0.17,2.4000000000000004,8.02,24.18,19.11
Tester3,0.84,0,0.89,0,0.57,2.12,2.0300000000000002,1.06,1.7999999999999998,1.1800000000000002,0.44,1.37,1.26,4.86,9.370000000000001,5.76
Tester4,2.2300000000000004,0,2.07,2.2199999999999998,6.9399999999999995,1.13,1.0699999999999998,0,0,0,0,0,9.450000000000001,1.3399999999999999,6.3100000000000005,14.700000000000001
Tester5,0,0,0,0.66,0.11,3.9100000000000006,5.6499999999999995,7.12,14.18,10.99,7.75,10.08,3.94,22.14,16.21,1.83
Tester6,0.62,0,0.16,0.96,0,0.82,0,0,0,0,0,0,0.97,0.42,1.77,2.61
