Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0,1.44,0,9.56,0.09,0,0,0,0,0,5.55,1.4,3.8299999999999996,8.42
Tester2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester3,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0.35,0.81,0.81,0
Tester4,4.489999999999999,0,2.45,0.6499999999999999,6.449999999999999,3.7199999999999998,1.03,0,0,0,0,0,8.3,3.23,6.22,11.17
Tester5,0,0,0,0,0,0.98,2.32,6.48,9.46,7.0200000000000005,3.27,8.030000000000001,5.67,11.899999999999999,6.109999999999999,0.09
Tester6,3.6199999999999997,0,2.34,1.1900000000000002,3.7199999999999998,4.5,3.4899999999999998,0.28,0.61,0.28,1.91,0.28,11.32,5.319999999999999,8.51,14.7
