Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0.67,5.640000000000001,0,23.769999999999996,3.8200000000000003,0,0.7,0.03,0,0,14.98,17.060000000000002,13.48,16.060000000000002
Tester2,1.83,0,4.68,16.06,2.6500000000000004,20.490000000000002,1.1400000000000001,0,0,0,0,0,2.38,9.0,38.129999999999995,31.78
Tester3,1.07,0,1.0,1.6800000000000002,0,5.52,5.76,1.35,3.9299999999999997,2.87,2.06,3.16,3.9299999999999997,11.750000000000002,12.680000000000001,5.029999999999999
Tester4,3.77,0,3.66,7.430000000000001,11.25,6.86,0.4,0,0,0,0,0,23.17,0.56,14.34,37.400000000000006
Tester5,0,0,0,0,0.14,3.2100000000000004,14.75,15.040000000000001,25.29,18.740000000000002,12.16,17.59,13.820000000000002,39.010000000000005,23.519999999999996,0.5900000000000001
Tester6,6.48,0,4.87,4.12,5.36,7.8,6.63,0,0.65,0,0.23,0,17.32,9.860000000000001,13.91,22.1
