Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.42,0,0.42,1.6099999999999999,0.17,9.809999999999999,1.8499999999999999,0,1.5699999999999998,0.11,0.35,0,7.949999999999999,6.969999999999999,6.930000000000001,8.51
Tester2,0.29,0,0.7,8.31,0.66,14.299999999999999,3.14,0,0,0,0,0,5.96,9.24,19.1,15.010000000000002
Tester3,0.1,0,0,0.15000000000000002,0.17,3.36,4.94,0.83,2.3899999999999997,2.7600000000000002,2.1899999999999995,1.6400000000000001,4.26,10.309999999999999,8.15,2.0
Tester4,1.75,0,1.31,1.06,6.24,5.26,0.33999999999999997,0,0,0,0,0,12.9,5.17,6.470000000000001,15.740000000000002
Tester5,0,0,0,1.1,0,2.71,12.66,9.420000000000002,21.27,11.42,14.59,12.340000000000002,11.189999999999998,31.220000000000002,21.09,2.07
Tester6,0.17,0,0,0.37,0,0.72,0.52,0,0.21,0,0,0,0.86,1.02,1.16,1.31
