Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0,5.16,0,19.499999999999996,1.36,0,0.47000000000000003,0,0,0,12.410000000000004,10.290000000000001,11.980000000000002,14.07
Tester2,0.57,0,2.9499999999999997,5.25,0.9199999999999999,15.42,0.97,0,0,0,0,0,5.5,8.469999999999999,15.71,13.24
Tester3,0.4,0,0.53,0.45999999999999996,2.19,1.22,6.6899999999999995,0.33,0.74,1.7999999999999998,2.74,0.49,1.92,7.4799999999999995,9.98,5.09
Tester4,2.98,0,2.8000000000000003,1.59,7.0600000000000005,6.989999999999999,0.19,0,0,0,0,0,15.11,3.21,6.94,19.86
Tester5,0,0,0,1.9,0,1.6600000000000001,10.03,9.280000000000001,15.67,11.900000000000002,9.92,12.409999999999998,12.13,25.63,14.600000000000001,2.3200000000000003
Tester6,4.35,0.12,1.69,0.79,1.1,3.67,2.0500000000000003,0,0,0,0.45,0,7.76,4.18,6.489999999999999,10.760000000000002
