Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0,3.42,0.11,18.04,4.09,0.21,0.18,0.21,0.11,0.29,14.209999999999999,11.040000000000001,7.83,12.629999999999999
Tester2,1.67,0,1.99,12.429999999999998,2.5,25.82,1.57,0,0,0,0.12,0,5.16,11.260000000000002,36.65,30.000000000000007
Tester3,0.51,0,1.0,2.5999999999999996,1.18,5.1899999999999995,6.0,0.8,3.4799999999999995,2.73,2.4099999999999997,2.1900000000000004,4.07,12.56,17.939999999999998,9.22
Tester4,2.9,0,1.1900000000000002,5.06,7.52,6.1000000000000005,1.25,0,0,0,0.47,0,16.11,2.23,8.6,23.620000000000005
Tester5,0,0,0,0,0,3.6500000000000004,12.7,7.6899999999999995,12.1,8.24,9.99,8.11,12.399999999999999,26.16,12.74,0
Tester6,4.0,0,1.09,0.23,2.53,4.7,2.8,0,0,0,0,0,9.320000000000002,5.83,6.609999999999999,10.25
