Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.08,0.13,0.89,6.409999999999999,0,29.97,4.08,0,0.1,0,0.03,0,16.9,19.69,21.71,19.099999999999998
Tester2,0.15,0,0.9199999999999999,13.06,0.18,26.58,0.54,0,0,0.17,0.17,0.17,2.84,11.760000000000002,41.49,34.14
Tester3,1.02,0,0.89,0.62,0.57,5.709999999999999,5.760000000000001,1.9,3.6100000000000003,3.16,3.83,2.6,1.98,13.590000000000002,19.35,7.800000000000001
Tester4,3.6500000000000004,0,2.65,3.79,12.990000000000002,13.079999999999998,2.7399999999999998,0,0,0,0,0,25.499999999999993,10.360000000000001,13.060000000000002,31.099999999999998
Tester5,0,0,0,1.04,0.11,4.590000000000001,12.059999999999997,12.29,26.020000000000007,16.82,14.36,15.88,12.12,38.94,24.279999999999998,2.48
Tester6,8.61,0,3.39,3.61,6.01,6.540000000000001,2.2600000000000002,0.62,0.62,0.62,0.42,0.62,19.089999999999996,7.53,15.24,28.27
