Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.42,0.47,0.56,3.43,0.17,23.94,4.38,0.18,1.75,0.29,0.52,0.18,14.340000000000002,15.799999999999999,16.24,16.489999999999995
Tester2,0.6499999999999999,0,0.7,15.420000000000002,0.66,25.89,3.14,0,0,0,0,0,5.96,11.65,33.58,27.37
Tester3,0.52,0,0.42,0.39,0.59,3.46,5.36,0.83,2.3899999999999997,2.7600000000000002,2.36,1.6400000000000001,4.26,10.729999999999999,9.290000000000001,2.7199999999999998
Tester4,4.42,0,2.16,2.0100000000000002,10.3,6.31,0.47,0.09,0.09,0.09,0,0.09,25.879999999999995,5.489999999999999,11.17,33.18
Tester5,0,0,0,1.1,0,2.71,12.66,9.420000000000002,21.27,11.42,14.59,12.340000000000002,11.189999999999998,31.220000000000002,21.09,2.07
Tester6,3.8699999999999997,0.07,2.33,3.3100000000000005,2.63,10.760000000000002,6.380000000000001,0.1,0.64,0.08,0.99,0.18,16.509999999999998,12.06,11.979999999999999,18.15
