Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,5.870000000000001,0.07,4.11,4.680000000000001,8.01,7.529999999999999,0,0.5,0.19,1.38,0.19,24.96,1.38,8.51,4.9399999999999995,13.4
Tester2,1.72,0,5.18,1.4300000000000002,33.08,2.8200000000000003,0,0,0,0,0,41.02000000000001,0,33.08,1.4300000000000002,4.550000000000001
Tester3,5.43,0,9.18,5.890000000000001,16.61,0.98,0,0,0,0,0,31.529999999999994,0,16.61,5.890000000000001,6.41
Tester4,0.32,0,1.05,1.28,10.69,7.29,5.219999999999999,6.609999999999999,9.57,8.459999999999999,3.6500000000000004,28.359999999999996,8.459999999999999,17.34,11.120000000000001,7.61
Tester5,1.3599999999999999,0,1.8699999999999999,7.279999999999999,11.54,7.129999999999999,0,0.82,0.12,0.29,0.12,26.350000000000005,0.29,12.36,7.390000000000001,8.5
Tester6,0.24000000000000002,0,0.5499999999999999,0.14,5.930000000000001,16.67,0.8099999999999999,5.04,1.65,5.06,0.7999999999999999,22.690000000000005,5.06,10.969999999999999,2.16,16.9
