Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,4.84,0,3.56,6.109999999999999,7.850000000000001,9.25,0,2.71,0.15,0.17,0.15,26.509999999999998,0.17,10.560000000000002,6.26,14.100000000000001
Tester2,1.2399999999999998,0,0.77,0.85,32.13,0.77,0,0,0,0,0,34.63,0,32.13,0.85,2.01
Tester3,3.25,0,1.86,1.27,16.66,0.07,0,0,0,0,0,21.720000000000002,0,16.66,1.27,3.3200000000000003
Tester4,0.52,0,0.87,0.32,10.01,11.36,3.35,10.22,6.97,9.040000000000001,3.0700000000000003,28.119999999999997,9.040000000000001,20.220000000000006,7.630000000000001,11.89
Tester5,1.04,0,3.73,6.54,15.339999999999998,3.47,0,0.22,0.07,0.22,0.07,28.46,0.22,15.56,6.6000000000000005,4.51
Tester6,0,0,0.17,1.0299999999999998,6.35,9.200000000000003,0.39,1.9200000000000004,0.42999999999999994,3.0300000000000002,0.6499999999999999,16.14,3.0300000000000002,8.27,1.6799999999999997,9.200000000000003
