Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,6.120000000000001,0.33,5.57,9.479999999999999,9.38,7.7299999999999995,0,0.97,0,1.02,0,29.209999999999997,1.02,10.360000000000001,9.81,13.889999999999999
Tester2,0.18,0,1.15,0,49.62,0.78,0.16,0,0,0,0,51.709999999999994,0,49.62,0,0.96
Tester3,6.79,0.06,4.38,5.73,16.44,1.79,0,0.97,0,0,0,31.160000000000004,0,17.41,5.800000000000001,8.58
Tester4,0.68,0,0.39,0.54,10.49,13.19,3.14,8.969999999999999,4.609999999999999,9.349999999999998,2.9299999999999997,31.469999999999995,9.349999999999998,19.459999999999997,5.319999999999999,13.88
Tester5,0.52,0,1.4100000000000001,9.440000000000001,14.630000000000003,11.520000000000001,0,0,0.12,0,0.18,31.099999999999998,0,14.630000000000003,9.620000000000001,12.04
Tester6,0,0,0,0.33999999999999997,5.779999999999999,16.75,0.8600000000000001,4.57,1.06,4.789999999999999,0.84,22.350000000000005,4.789999999999999,10.36,1.62,16.75
