Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,4.66,0.22,5.57,5.0200000000000005,7.39,6.529999999999999,0,1.77,0.48,1.8800000000000001,0,25.03,1.8800000000000001,9.15,5.71,11.18
Tester2,0.18,0,2.93,0.63,29.610000000000007,3.92,0,0.15,0,0.15,0,36.83,0.15,29.76000000000001,0.63,4.1
Tester3,3.4899999999999998,0,2.94,1.4,22.45,1.6800000000000002,0.14,1.34,0.14,0.26,0.12,30.110000000000003,0.26,23.790000000000003,1.6600000000000001,5.17
Tester4,0.72,0,1.98,1.1600000000000001,7.38,8.24,1.15,5.8100000000000005,2.7199999999999998,6.3999999999999995,2.36,22.630000000000003,6.3999999999999995,13.2,4.7700000000000005,8.97
Tester5,0.31,0,1.4700000000000002,4.859999999999999,16.44,13.06,0.48,3.6100000000000003,0.84,2.9400000000000004,0.84,31.849999999999998,2.9400000000000004,20.049999999999997,5.699999999999999,13.37
Tester6,0,0,0,0.6000000000000001,6.060000000000001,10.690000000000001,0.54,4.750000000000001,0.84,2.5,0.5499999999999999,15.55,2.5,10.790000000000001,1.69,10.690000000000001
