Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,10.110000000000001,0.38,5.470000000000001,8.05,8.670000000000002,8.940000000000001,0,1.7399999999999998,0.32,1.37,0,32.17,1.37,10.41,8.63,19.029999999999998
Tester2,0.64,0.09,3.08,0,44.410000000000004,2.66,0,0.27,0,0,0,47.839999999999996,0,44.68,0.09,3.3000000000000003
Tester3,1.6999999999999997,0,1.4900000000000002,1.3,29.72,0.8599999999999999,0,0,0,0,0,33.96,0,29.72,1.3,2.5600000000000005
Tester4,0.18,0,0.45,0.76,11.35,16.9,3.9599999999999995,7.22,5.42,5.400000000000001,4.1,32.230000000000004,5.400000000000001,18.57,6.869999999999999,17.08
Tester5,0.48,0,1.6800000000000002,5.19,28.669999999999998,12.33,0,0,0.17,1.64,0.29000000000000004,42.48,1.64,28.669999999999998,5.48,12.81
Tester6,0,0,0.25,0,5.3500000000000005,13.969999999999999,1.26,5.319999999999999,1.2600000000000002,4.4,1.86,19.909999999999997,4.4,10.69,2.08,13.969999999999999
