Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,6.7200000000000015,0.15000000000000002,4.21,6.89,4.97,7.920000000000001,0,2.83,0.22,0.45999999999999996,0,26.0,0.45999999999999996,7.79,7.259999999999999,14.669999999999996
Tester2,0.51,0.03,0.99,0.49,41.45,0.9500000000000001,0,0,0,0,0,43.209999999999994,0,41.45,0.51,1.46
Tester3,3.25,0,5.14,5.659999999999999,17.040000000000003,3.92,0.25,0.98,0.25,0,0.25,32.349999999999994,0,18.03,5.909999999999999,7.17
Tester4,1.34,0,1.7,2.14,10.16,9.7,2.93,7.959999999999999,2.58,4.500000000000001,2.23,25.85,4.500000000000001,18.110000000000003,5.880000000000001,11.04
Tester5,2.02,0,2.91,10.78,13.47,11.950000000000001,0,1.4,0,1.7000000000000002,0.11,34.620000000000005,1.7000000000000002,14.87,10.890000000000002,13.969999999999999
Tester6,0.25,0,0,0.30000000000000004,8.5,10.850000000000001,0.6100000000000001,2.52,0.25,2.79,0.4,17.850000000000005,2.79,11.04,0.7000000000000001,11.090000000000002
